,bytes,Tamaño en bytes,Recibido en bytes,tiempo tardado,bw 
2491,2780,41346,41346,0.0001666545867919,236.60085836909872
2499,2790,41346,41346,0.000159740447998,246.84179104477613
2502,2800,41346,41346,0.0001518726348876,259.62951334379903
2507,2810,41346,41346,0.0001533031463623,257.20684292379474
2510,2820,41346,25380,0.0001673698425292,144.6153846153846
2515,2830,41346,41346,0.0001528263092041,258.009360374415
2520,2840,41346,41346,0.0001542568206787,255.61669242658425
2525,2850,41346,38496,0.000150442123413,244.03169572107765
2531,2860,41346,41346,0.0001552104949951,254.04608294930875
2539,2870,41346,41346,0.0001590251922607,247.952023988006
2544,2880,41346,41346,0.0001592636108398,247.5808383233533
2547,2890,41346,41346,0.0002048015594482,192.53084982537837
2553,2900,41346,29746,0.0001616477966308,175.49262536873155
2558,2910,41346,40740,0.0001792907714843,216.70212765957447
2561,2920,41346,41346,0.0001962184906005,200.95261239368165
2566,2930,41346,41346,0.0001611709594726,244.6508875739645
2573,2940,41346,38406,0.0002269744873046,161.36974789915968
2577,2950,41346,29546,0.0001618862152099,174.0559646539028
2580,2960,41346,41346,0.0001535415649414,256.8074534161491
2588,2970,41346,41346,0.0001685619354248,233.92362093352196
2594,2980,41346,38740,0.0001654624938964,223.28530259365996
2596,2990,41346,41346,0.0001623630523681,242.8546255506608
2600,3000,41346,41346,0.0001540184020996,256.0123839009288
2607,3010,41346,41346,0.0002205371856689,178.79351351351352
2613,3020,41346,41346,0.000169038772583,233.2637517630465
2618,3030,41346,36360,0.0001585483551025,218.70676691729324
2621,3040,41346,36480,0.0001852512359619,187.7992277992278
2627,3050,41346,41346,0.0001850128173828,213.1237113402062
2633,3060,41346,33660,0.0001640319824218,195.69767441860463
2639,3070,41346,41346,0.0001707077026367,230.9832402234637
2640,3080,41346,38266,0.0002374649047851,153.67871485943775
2645,3090,41346,41346,0.0002074241638183,190.09655172413792
2653,3100,41346,41346,0.0001590251922607,247.952023988006
2656,3110,41346,41346,0.0001547336578369,254.82896764252695
2659,3120,41346,41346,0.0001728534698486,228.11586206896555
2667,3130,41346,41346,0.0001516342163085,260.0377358490566
2670,3140,41346,31926,0.0001583099365234,192.32530120481928
2674,3150,41346,41346,0.0001535415649414,256.8074534161491
2682,3160,41346,41346,0.0001599788665771,246.47391952309985
2685,3170,41346,38176,0.000197410583496,184.42512077294683
2690,3180,41346,41346,0.0002014636993408,195.7207100591716
2694,3190,41346,38280,0.0001797676086425,203.07692307692307
2702,3200,41346,32000,0.0001513957977294,201.5748031496063
2705,3210,41346,38520,0.0002202987670898,166.75324675324674
2712,3220,41346,41346,0.000162124633789,243.2117647058824
2715,3230,41346,41346,0.0001556873321533,253.2679938744257
