bytes;Tamaño en bytes;Recibido en bytes;tiempo tardado;bw 
40;41346;5440;0.001672983169555664;3.1010403306256236 
40;41346;5480;0.0017485618591308594;2.988819198254704 
40;41346;5480;0.0018177032470703125;2.875131164742917 
50;41346;6700;0.0014052391052246094;4.546996946046828 
50;41346;6700;0.0013725757598876953;4.655202362341497 
50;41346;6750;0.00146484375;4.39453125 
50;41346;6800;0.0017001628875732422;3.8143317907726826 
50;41346;6700;0.0014383792877197266;4.442234377589922 
60;41346;7740;0.0011353492736816406;6.501469970600588 
60;41346;7740;0.0013132095336914062;5.620915032679738 
60;41346;7980;0.001165628433227539;6.528942524033544 
60;41346;7800;0.001188039779663086;6.261288380493679 
60;41346;8040;0.0013942718505859375;5.4993160054719565 
70;41346;9240;0.0011529922485351562;7.642679900744417 
70;41346;9310;0.0011529922485351562;7.700578990901572 
70;41346;9170;0.0010695457458496094;8.176549264378066 
70;41346;9240;0.001026153564453125;8.58736059479554 
70;41346;9240;0.0010221004486083984;8.621413575927221 
80;41346;10560;0.0009796619415283203;10.279873448527622 
80;41346;10320;0.0009152889251708984;10.752800208387601 
80;41346;10480;0.0010385513305664062;9.623507805325987 
80;41346;10480;0.0008955001831054688;11.160809371671991 
80;41346;10480;0.0009567737579345703;10.446050336406678 
90;41346;11790;0.0008213520050048828;13.689404934687953 
90;41346;11790;0.0008792877197265625;12.787418655097614 
90;41346;11880;0.0010020732879638672;11.306209850107066 
90;41346;11520;0.0008296966552734375;13.241379310344827 
90;41346;11610;0.0008671283721923828;12.768765466043442 
100;41346;13000;0.0007741451263427734;16.014782876501386 
100;41346;12800;0.0007421970367431641;16.447157083199485 
100;41346;13000;0.0007793903350830078;15.907005200367085 
100;41346;13100;0.0008785724639892578;14.219810040705562 
100;41346;13000;0.0007765293121337891;15.965612526865213 
200;41346;25800;0.0004611015319824219;53.360910031023785 
200;41346;25600;0.00046133995056152344;52.91989664082687 
200;41346;25800;0.00048160552978515625;51.08910891089109 
200;41346;25800;0.000461578369140625;53.30578512396694 
200;41346;25800;0.000476837158203125;51.6 
300;41346;38100;0.0003101825714111328;117.14066102997694 
300;41346;38700;0.0003409385681152344;108.25174825174825 
300;41346;39000;0.0008685588836669922;42.82185012352457 
300;41346;38400;0.0003287792205810547;111.38506163886875 
300;41346;38400;0.00034737586975097656;105.42210020590254 
400;41346;41346;0.00029754638671875;132.51923076923077 
400;41346;41346;0.0002715587615966797;145.20105355575066 
400;41346;41346;0.00025916099548339844;152.14719411223552 
400;41346;41346;0.00026607513427734375;148.19354838709677 
400;41346;41346;0.0002758502960205078;142.94209161624892 
500;41346;41346;0.00023865699768066406;165.21878121878123 
500;41346;41346;0.0002608299255371094;151.17367458866545 
500;41346;41346;0.00023674964904785156;166.54984894259817 
500;41346;41346;0.00025844573974609375;152.56826568265683 
500;41346;41346;0.00028395652770996094;138.86146095717885 
600;41346;41346;0.0002129077911376953;185.20044792833147 
