bytes;Tamaño en bytes;Recibido en bytes;tiempo tardado;bw 
8;41346;1392;0.008075475692749023;0.16438841486817632 
9;41346;1494;0.0068225860595703125;0.20883421861895443 
9;41346;1485;0.007517099380493164;0.18839798280947698 
9;41346;1494;0.007335186004638672;0.19424039524150036 
9;41346;1557;0.007687091827392578;0.1931641957694932 
9;41346;1548;0.007622718811035156;0.1936694607781809 
10;41346;1640;0.006524324417114258;0.23972227297642976 
10;41346;1690;0.0066165924072265625;0.24358604785240703 
10;41346;1680;0.0068492889404296875;0.23391812865497075 
10;41346;1660;0.0063288211822509766;0.25014126954228666 
10;41346;1690;0.00660252571105957;0.24410500848589897 
11;41346;1804;0.005910396575927734;0.291085114965712 
11;41346;1793;0.005664825439453125;0.30185185185185187 
11;41346;1768;0.005801677703857422;0.2906221747349388 
11;41346;1826;0.0063626766204833984;0.27369131037583844 
11;41346;1749;0.005612611770629883;0.29718363705874856 
12;41346;1884;0.005284309387207031;0.34001082837033025 
12;41346;1908;0.005274534225463867;0.3449803372056231 
12;41346;1908;0.005197048187255859;0.3501238645747316 
12;41346;1680;0.005281925201416016;0.3033312268664801 
12;41346;1920;0.005700826644897461;0.3211910836016896 
13;41346;1833;0.005120038986206055;0.34142025611175786 
13;41346;2080;0.005372524261474609;0.36921984556669923 
13;41346;2002;0.004933357238769531;0.3870094722598105 
13;41346;2028;0.004776954650878906;0.404871231782791 
13;41346;2132;0.006558418273925781;0.31001890359168244 
14;41346;2170;0.004801034927368164;0.4310473258181457 
14;41346;1904;0.004899024963378906;0.3706443449484135 
14;41346;2160;0.004535675048828125;0.4541631623212784 
14;41346;2072;0.004609107971191406;0.4287192220153114 
14;41346;2170;0.004610776901245117;0.4488339624592792 
15;41346;2325;0.004583120346069336;0.4837954533631587 
15;41346;2265;0.004285573959350586;0.5040333796940195 
15;41346;2505;0.006926536560058594;0.3448988021478728 
15;41346;2550;0.0070362091064453125;0.3456221198156682 
15;41346;2295;0.004255771636962891;0.5142857142857142 
16;41346;2416;0.003884553909301758;0.593138157490947 
16;41346;2432;0.004168987274169922;0.5563307789088413 
16;41346;2432;0.004042148590087891;0.5737878966615548 
16;41346;2560;0.005323886871337891;0.4585759068517689 
16;41346;2416;0.0039958953857421875;0.5766109785202864 
17;41346;2499;0.0038383007049560547;0.6209081309398099 
17;41346;2363;0.0037369728088378906;0.6030368763557483 
17;41346;2465;0.0037114620208740234;0.6333911479411576 
17;41346;2584;0.004080057144165039;0.6039852743528312 
17;41346;2499;0.0038666725158691406;0.6163522012578616 
18;41346;2664;0.003537893295288086;0.7181076891973853 
18;41346;2592;0.003480195999145508;0.7102829348496267 
18;41346;2664;0.0035736560821533203;0.7109213423176997 
18;41346;2628;0.003481626510620117;0.719852085187975 
18;41346;5868;0.011775016784667969;0.4752571474852191 
19;41346;2508;0.0036187171936035156;0.6609566477796811 
19;41346;2793;0.003512859344482422;0.7582462332021176 
19;41346;2812;0.0034461021423339844;0.7781928877819289 
19;41346;2793;0.0035207271575927734;0.7565517708403874 
19;41346;3078;0.006165504455566406;0.47610208816705335 
20;41346;2920;0.003197908401489258;0.8707969879967196 
20;41346;2860;0.0032024383544921875;0.851697438951757 
20;41346;2880;0.0034046173095703125;0.8067226890756303 
20;41346;2840;0.0033473968505859375;0.8091168091168092 
20;41346;2640;0.0032558441162109375;0.773286467486819 
21;41346;2961;0.003315448760986328;0.8517186825830577 
21;41346;3066;0.003216981887817383;0.90891573408434 
21;41346;3171;0.004357099533081055;0.69406292749658 
21;41346;2982;0.003106355667114258;0.915496200782869 
21;41346;3045;0.0030362606048583984;0.9564193168433451 
22;41346;3080;0.00283050537109375;1.0377358490566038 
22;41346;3212;0.003206491470336914;0.9553126626514983 
22;41346;2948;0.0028676986694335938;0.9803791153974061 
22;41346;2970;0.002859830856323242;0.9904126719466444 
22;41346;3542;0.005646467208862305;0.5982350209010683 
23;41346;3243;0.0028705596923828125;1.0774086378737542 
23;41346;3266;0.002886056900024414;1.0792234613795952 
23;41346;3312;0.0028700828552246094;1.1005150357202194 
23;41346;2921;0.0028121471405029297;0.9905892327257313 
23;41346;3289;0.0027725696563720703;1.131309656892252 
24;41346;3360;0.002633333206176758;1.2168401991851516 
24;41346;3408;0.0027434825897216797;1.184670200747371 
24;41346;3456;0.002830982208251953;1.1642243557352199 
24;41346;3456;0.002834796905517578;1.1626576955424726 
24;41346;3432;0.0026493072509765625;1.2354211663066954 
25;41346;3550;0.002686023712158203;1.2604296112195987 
25;41346;3450;0.0025413036346435547;1.2946805516464959 
25;41346;3550;0.0026428699493408203;1.2810103743797925 
25;41346;3525;0.0025420188903808594;1.3224535734383793 
25;41346;3575;0.0027990341186523438;1.2180579216354344 
26;41346;3484;0.004222869873046875;0.7868112014453478 
26;41346;3744;0.002813100814819336;1.2692601067887108 
26;41346;3666;0.0024635791778564453;1.4191425529855801 
26;41346;3614;0.002525806427001953;1.3645459694166509 
26;41346;3666;0.002524852752685547;1.3847025495750709 
