Tamaño;tiempo (ms);loss;win_size;Tamaño en bytes;tiempo tardado;bw 
7000;20;5;10;299226;0.033447980880737305;8.531580785652679 
7000;20;5;10;299226;0.03491687774658203;8.172670909239887 
7000;20;5;10;299226;0.035166263580322266;8.114713419842982 
8000;20;5;10;299226;0.03209662437438965;8.890783892796922 
8000;20;5;10;299226;0.03677940368652344;7.7588030908053724 
8000;20;5;10;299226;0.03333091735839844;8.561545064377682 
4000;10;5;10;299226;0.03591489791870117;7.945564864111313 
4000;10;5;10;299226;0.0348963737487793;8.17747291037536 
4000;10;5;10;299226;0.038849830627441406;7.3453126150673835 
5000;10;5;10;299226;0.03679943084716797;7.754580558219089 
5000;10;5;10;e;r;r 
5000;10;5;10;e;r;r 
6000;10;5;10;299226;0.03821372985839844;7.467581731969054 
6000;10;5;10;299226;0.041364431381225586;6.898780944695813 
6000;10;5;10;299226;0.01264643669128418;22.564787059555456 
7000;10;5;10;299226;0.034947872161865234;8.165422766779004 
7000;10;5;10;299226;0.07193827629089355;3.9667916123964724 
7000;10;5;10;299226;0.03512167930603027;8.125014425263558 
8000;10;5;10;299226;0.03961348533630371;7.203712285812303 
8000;10;5;10;299226;0.048146963119506836;5.926939780036941 
8000;10;5;10;299226;0.03611397743225098;7.9017646709314535 
4000;30;5;10;299226;0.03230762481689453;8.832718363491454 
4000;30;5;10;299226;0.05883455276489258;4.850281638772946 
4000;30;5;10;299226;0.037650108337402344;7.579371311330074 
5000;30;5;10;299226;0.033178091049194336;8.600981610962998 
5000;30;5;10;299226;0.03478407859802246;8.20387264813736 
5000;30;5;10;299226;0.037267208099365234;7.657245217836351 
6000;30;5;10;299226;0.039403676986694336;7.242069086530607 
6000;30;5;10;299226;0.036080121994018555;7.909179216419637 
6000;30;5;10;299226;0.015573740005493164;18.323418196292156 
7000;30;5;10;e;r;r 
7000;30;5;10;299226;0.03342556953430176;8.537301083475395 
7000;30;5;10;299226;0.0607452392578125;4.6977204220045214 
8000;30;5;10;299226;0.032880306243896484;8.678877528823145 
8000;30;5;10;299226;0.03664803504943848;7.786615315555613 
8000;30;5;10;299226;0.03695201873779297;7.722559165870906 
4000;20;10;10;299226;0.036026716232299805;7.920903730469138 
4000;20;10;10;299226;0.03724217414855957;7.662392369002273 
4000;20;10;10;299226;0.03990626335144043;7.1508612191493555 
5000;20;10;10;e;r;r 
5000;20;10;10;299226;0.0563814640045166;5.061311479569183 
5000;20;10;10;299226;0.018129825592041016;15.740038399831672 
6000;20;10;10;299226;0.08250641822814941;3.4586903313615966 
6000;20;10;10;299226;0.03447246551513672;8.278031371898082 
6000;20;10;10;299226;0.037188053131103516;7.673543704881458 
7000;20;10;10;299226;0.03613591194152832;7.896968297430146 
7000;20;10;10;299226;0.034151554107666016;8.355817427849374 
7000;20;10;10;299226;0.03632664680480957;7.855504873166409 
8000;20;10;10;299226;0.03610372543334961;7.904008452750446 
8000;20;10;10;299226;0.037743330001831055;7.56065113987379 
8000;20;10;10;e;r;r 
4000;20;15;10;299226;0.0383756160736084;7.4360799955268115 
